,name,iter,A,BA,ROC,MCC,F1,R,P
gat-1,GAT,1,0.7209775967413442,0.6927373375762398,0.6927373375762397,0.291408024531174,0.6122514857534831,0.6927373375762398,0.6101481397287262
gat-2,GAT,2,0.6089613034623218,0.6866569322764566,0.6866569322764567,0.2582883899519873,0.5392375366568916,0.6866569322764566,0.5893522833178005
gat-3,GAT,3,0.725050916496945,0.7003921568627451,0.700392156862745,0.2931258291655275,0.608376610716248,0.7003921568627451,0.6071932567985049
gat-4,GAT,4,0.7311608961303462,0.684205624883591,0.684205624883591,0.2923697197473768,0.6229931592908,0.684205624883591,0.6160117302052786
gat-5,GAT,5,0.7291242362525459,0.7122460429955115,0.7122460429955115,0.3373206474796628,0.6402930402930402,0.7122460429955115,0.6340251361229208
gat-6,GAT,6,0.7433808553971487,0.6955208686800136,0.6955208686800135,0.3003082050798538,0.623576226635514,0.6955208686800136,0.6153138008325328
gat-7,GAT,7,0.7189409368635438,0.721323579916203,0.7213235799162031,0.3237927830942421,0.6173420981295744,0.721323579916203,0.6184258884927781
gat-8,GAT,8,0.6761710794297352,0.6492309732166535,0.6492309732166535,0.2204446995596242,0.5699743865157398,0.6492309732166535,0.5814104882459312
gat-9,GAT,9,0.5865580448065173,0.6467147435897436,0.6467147435897436,0.211218674318611,0.5239998662827071,0.6467147435897436,0.5760205267877903
gat-10,GAT,10,0.6965376782077393,0.6753804692454026,0.6753804692454027,0.2662986860232334,0.5970200225839324,0.6753804692454026,0.6010873538011696
gat-11,GAT,11,0.670061099796334,0.6860057782592994,0.6860057782592994,0.2591096190064303,0.5698386259409882,0.6860057782592994,0.5902361680507375
gat-12,GAT,12,0.6517311608961304,0.6896704464918497,0.6896704464918497,0.2870309694567424,0.585715343053808,0.6896704464918497,0.608592006492189
gat-13,GAT,13,0.670061099796334,0.702710843373494,0.702710843373494,0.2984532609005309,0.591790860943466,0.702710843373494,0.6098539518900343
gat-14,GAT,14,0.7657841140529531,0.6912807676261994,0.6912807676261995,0.3017681423257085,0.6320659433747109,0.6912807676261994,0.6190187764990915
gat-15,GAT,15,0.6863543788187373,0.6908377896613191,0.690837789661319,0.2701745017264578,0.5823723047013079,0.6908377896613191,0.5956234369417649
gat-16,GAT,16,0.6904276985743381,0.6887022681596324,0.6887022681596324,0.2963505611790136,0.6117769454848107,0.6887022681596324,0.6163521455884435
gat-17,GAT,17,0.7393075356415478,0.6812601987835633,0.6812601987835633,0.267966823628836,0.6040122990070065,0.6812601987835633,0.5990374873353597
gat-18,GAT,18,0.6354378818737271,0.7045297697471611,0.7045297697471611,0.2984385365704328,0.5728089745646141,0.7045297697471611,0.6088662548004675
gat-19,GAT,19,0.7107942973523421,0.7106848446417248,0.7106848446417248,0.3186323607012789,0.6190054644808742,0.7106848446417248,0.6204720983356902
gat-20,GAT,20,0.6130346232179226,0.6741794640168624,0.6741794640168624,0.2589247524955306,0.5552366604370876,0.6741794640168624,0.5962255048740726
gat-21,GAT,21,0.7372708757637475,0.682637983485441,0.6826379834854411,0.292699092392495,0.6257820946844148,0.682637983485441,0.6172712776559697
gat-22,GAT,22,0.7413441955193483,0.6894381866221666,0.6894381866221666,0.2880477736178457,0.6166915620140028,0.6894381866221666,0.6094968250140664
gat-23,GAT,23,0.7006109979633401,0.6550638686131387,0.6550638686131387,0.2439701015218792,0.5958304634871572,0.6550638686131387,0.5959627329192547
gat-24,GAT,24,0.6374745417515275,0.6919459894613583,0.6919459894613584,0.2609413653291146,0.5514739089378824,0.6919459894613583,0.5886843173057416
gat-25,GAT,25,0.6456211812627292,0.6849584687612857,0.6849584687612856,0.2542176780898222,0.5555867665418228,0.6849584687612857,0.5873528910114276
gat-26,GAT,26,0.7372708757637475,0.7005519517468988,0.7005519517468989,0.3300896342852937,0.6453206108152603,0.7005519517468988,0.6358241165362828
gat-27,GAT,27,0.7006109979633401,0.7349062435606841,0.734906243560684,0.3365882373566957,0.6106642932276074,0.7349062435606841,0.6205711263881544
gat-28,GAT,28,0.745417515274949,0.6500708717221828,0.6500708717221829,0.2575513459709517,0.6201031214989137,0.6500708717221828,0.6105022831050229
gat-29,GAT,29,0.5845213849287169,0.6640106951871658,0.6640106951871658,0.2238340311923645,0.5157790927021697,0.6640106951871658,0.5763695219123506
gat-30,GAT,30,0.7311608961303462,0.6998044328552804,0.6998044328552803,0.3137420568394547,0.6297134238310709,0.6998044328552804,0.6231630309988518
