,name,iter,A,BA,ROC,MCC,F1,R,P
gcn-1,GCN (pretrained),1,0.7413441955193483,0.6874171307345531,0.6874171307345532,0.2918467755596464,0.6218610715260301,0.6874171307345531,0.6136162687886826
gcn-2,GCN (pretrained),2,0.7393075356415478,0.7067688777638714,0.7067688777638714,0.31011086851687,0.6226523848407705,0.7067688777638714,0.6162756598240469
gcn-3,GCN (pretrained),3,0.7474541751527495,0.6941354723707664,0.6941354723707664,0.2933484171384048,0.6191322189970974,0.6941354723707664,0.6108160358160358
gcn-4,GCN (pretrained),4,0.6252545824847251,0.6940460669274229,0.6940460669274229,0.2842974705568192,0.5648001849782265,0.6940460669274229,0.6041312676994837
gcn-5,GCN (pretrained),5,0.7494908350305499,0.6861120954405859,0.6861120954405859,0.3103464817678498,0.6409047395365708,0.6861120954405859,0.6293775916574291
gcn-6,GCN (pretrained),6,0.6924643584521385,0.6836952833389888,0.6836952833389888,0.268197980414501,0.5893944009082602,0.6836952833389888,0.5978933092224231
gcn-7,GCN (pretrained),7,0.7169042769857433,0.7262002884813517,0.7262002884813518,0.3295674836177027,0.6178260845218696,0.7262002884813517,0.6200426478092878
gcn-8,GCN (pretrained),8,0.7474541751527495,0.6564903208697959,0.6564903208697958,0.2521926580595163,0.6107161125319693,0.6564903208697959,0.6016055440771351
gcn-9,GCN (pretrained),9,0.7270875763747454,0.6640705128205129,0.6640705128205128,0.2587711034191727,0.6075280362681936,0.6640705128205129,0.6020330875024915
gcn-10,GCN (pretrained),10,0.6945010183299389,0.663427393785669,0.663427393785669,0.249189531226663,0.5909969345595095,0.663427393785669,0.5949893115140793
gcn-11,GCN (pretrained),11,0.6558044806517311,0.6517154207295053,0.6517154207295052,0.2115538632118552,0.5500956966335389,0.6517154207295053,0.5737483322800365
gcn-12,GCN (pretrained),12,0.745417515274949,0.6740639026695016,0.6740639026695016,0.2915574943599113,0.6326983728014267,0.6740639026695016,0.6220898922949462
gcn-13,GCN (pretrained),13,0.6965376782077393,0.67000634115409,0.67000634115409,0.2588538761777828,0.5948328856644421,0.67000634115409,0.5985335734499614
gcn-14,GCN (pretrained),14,0.7494908350305499,0.6818245028507857,0.6818245028507858,0.2813294267423781,0.6180969665543169,0.6818245028507857,0.6088223054515189
gcn-15,GCN (pretrained),15,0.7617107942973523,0.6639750445632798,0.6639750445632797,0.2595856249276747,0.6135808697406921,0.6639750445632798,0.6027362072816618
gcn-16,GCN (pretrained),16,0.8065173116089613,0.699540625897215,0.6995406258972151,0.3752710588421835,0.6862408771398782,0.699540625897215,0.6764407209951765
gcn-17,GCN (pretrained),17,0.835030549898167,0.6346424862780002,0.6346424862780002,0.2674855668238146,0.6337339411520928,0.6346424862780002,0.6328490925058547
gcn-18,GCN (pretrained),18,0.6904276985743381,0.7054238032498903,0.7054238032498902,0.3076583448595011,0.6062716299485101,0.7054238032498903,0.6151931466366451
gcn-19,GCN (pretrained),19,0.659877800407332,0.6590678503487635,0.6590678503487635,0.236029312404452,0.5704827008197795,0.6590678503487635,0.5875567190226876
gcn-20,GCN (pretrained),20,0.7046843177189409,0.6844775669978922,0.6844775669978921,0.2878266604949382,0.6119761719197083,0.6844775669978922,0.6122686457760674
gcn-21,GCN (pretrained),21,0.7128309572301426,0.657710933134662,0.6577109331346618,0.2489488122914574,0.6009303612499352,0.657710933134662,0.5982422554820744
gcn-22,GCN (pretrained),22,0.6354378818737271,0.652656097900153,0.652656097900153,0.2141531810810429,0.5438626538164116,0.652656097900153,0.575106048166393
gcn-23,GCN (pretrained),23,0.6843177189409368,0.6654653284671532,0.6654653284671532,0.2545373091555961,0.5915470280423991,0.6654653284671532,0.5978894526611249
gcn-24,GCN (pretrained),24,0.769857433808554,0.6817183840749415,0.6817183840749415,0.2839482779549811,0.6237037539421479,0.6817183840749415,0.6109224927406746
gcn-25,GCN (pretrained),25,0.7270875763747454,0.7123510292524378,0.7123510292524378,0.3075942692046639,0.612502355823596,0.7123510292524378,0.6113889520345533
gcn-26,GCN (pretrained),26,0.7861507128309573,0.7077074086719016,0.7077074086719016,0.3691090675862802,0.6786348761103319,0.7077074086719016,0.6639824797843665
gcn-27,GCN (pretrained),27,0.7107942973523421,0.6862765299814548,0.6862765299814547,0.2749401603469659,0.5992988505747128,0.6862765299814548,0.6014514439622924
gcn-28,GCN (pretrained),28,0.7189409368635438,0.6821255610678006,0.6821255610678006,0.2917443284672747,0.621632789814608,0.6821255610678006,0.6168352655906645
gcn-29,GCN (pretrained),29,0.6232179226069247,0.6863636363636363,0.6863636363636363,0.2555521772689783,0.5446068232521997,0.6863636363636363,0.5876068376068376
gcn-30,GCN (pretrained),30,0.8167006109979633,0.6882566585956417,0.6882566585956418,0.3557207733773304,0.6768603018603019,0.6882566585956417,0.6680382377389859
