,name,iter,A,BA,ROC,MCC,F1,R,P
gcn-1,GCN,1,0.7942973523421588,0.6781854945637762,0.6781854945637762,0.3096286412926228,0.6488511240927597,0.6781854945637762,0.6345085577019317
gcn-2,GCN,2,0.714867617107943,0.7234390209984704,0.7234390209984704,0.3235594515187907,0.6139937106918238,0.7234390209984704,0.6171356710651017
gcn-3,GCN,3,0.7189409368635438,0.6648663101604277,0.6648663101604277,0.2441774351785865,0.5904772265738323,0.6648663101604277,0.5904105571847507
gcn-4,GCN,4,0.6232179226069247,0.6824362078599366,0.6824362078599366,0.2675152023712351,0.560089110589147,0.6824362078599366,0.5980676812174609
gcn-5,GCN,5,0.7087576374745418,0.6520050791400898,0.6520050791400898,0.2455737331800033,0.6023390819245038,0.6520050791400898,0.5991849396893907
gcn-6,GCN,6,0.6924643584521385,0.6658296572785884,0.6658296572785884,0.2440680765693343,0.5824853443858158,0.6658296572785884,0.589804843985446
gcn-7,GCN,7,0.769857433808554,0.7024520914898001,0.7024520914898001,0.3205344677001951,0.6412234472501537,0.7024520914898001,0.6268724173553719
gcn-8,GCN,8,0.725050916496945,0.6261104481569876,0.6261104481569876,0.200764531925401,0.5838591204444863,0.6261104481569876,0.5799029697147897
gcn-9,GCN,9,0.7230142566191446,0.6562019230769232,0.6562019230769232,0.246360807289185,0.6016702457647339,0.6562019230769232,0.5971397249352203
gcn-10,GCN,10,0.7107942973523421,0.6569435637285986,0.6569435637285986,0.2446972221849596,0.5968894542090657,0.6569435637285986,0.5953793980500213
gcn-11,GCN,11,0.714867617107943,0.6857529794149513,0.6857529794149512,0.2690665176282634,0.5951517150395779,0.6857529794149513,0.5974369174812457
gcn-12,GCN,12,0.714867617107943,0.6652787621072526,0.6652787621072526,0.2665512276316554,0.6117963314358001,0.6652787621072526,0.6074692780337941
gcn-13,GCN,13,0.7413441955193483,0.6750158528852251,0.6750158528852253,0.2810344091112621,0.6218610715260301,0.6750158528852251,0.6128188358404185
gcn-14,GCN,14,0.6680244399185336,0.6839104436100681,0.6839104436100683,0.2606055837382431,0.5726034273752116,0.6839104436100681,0.5923211169284468
gcn-15,GCN,15,0.725050916496945,0.6811942959001782,0.6811942959001783,0.2678631785521257,0.6007047980482516,0.6811942959001782,0.5989968835216206
gcn-16,GCN,16,0.7128309572301426,0.6793855871375252,0.6793855871375252,0.2895766604184623,0.6206873880241293,0.6793855871375252,0.616863683974263
gcn-17,GCN,17,0.714867617107943,0.6198635217326806,0.6198635217326807,0.1779633025934906,0.5637217567910637,0.6198635217326806,0.566056245912361
gcn-18,GCN,18,0.7006109979633401,0.6903193424932555,0.6903193424932555,0.2893704650253325,0.6066241191186008,0.6903193424932555,0.6099931107001705
gcn-19,GCN,19,0.8187372708757638,0.6939283449587825,0.6939283449587824,0.3610367735585693,0.6789317071378715,0.6939283449587825,0.6680357142857143
gcn-20,GCN,20,0.7393075356415478,0.7002559470039145,0.7002559470039145,0.3221231397222036,0.6388045977011494,0.7002559470039145,0.6295383716400467
gcn-21,GCN,21,0.7494908350305499,0.6691034953746818,0.6691034953746818,0.2795232963496416,0.6261814715549311,0.6691034953746818,0.6155110262934691
gcn-22,GCN,22,0.7393075356415478,0.6388888888888888,0.638888888888889,0.2185565577413353,0.5920444513683336,0.6388888888888888,0.5859805440771351
gcn-23,GCN,23,0.6741344195519349,0.6744829683698297,0.6744829683698297,0.2651237916967297,0.5894477193862621,0.6744829683698297,0.6007127308475528
gcn-24,GCN,24,0.6619144602851323,0.692714432084309,0.6927144320843092,0.2649775718137366,0.5658107820157681,0.692714432084309,0.5910843998616395
gcn-25,GCN,25,0.6985743380855397,0.6894005055976887,0.6894005055976887,0.2694632622063349,0.5872449675103377,0.6894005055976887,0.5958424707602339
gcn-26,GCN,26,0.7128309572301426,0.6902099692727893,0.6902099692727893,0.3061665059258126,0.6265555465652561,0.6902099692727893,0.623203228659885
gcn-27,GCN,27,0.714867617107943,0.6947077409162716,0.6947077409162716,0.2873844467343516,0.6049425287356321,0.6947077409162716,0.6060433188687715
gcn-28,GCN,28,0.7067209775967414,0.67477261989133,0.6747726198913301,0.2773458984955338,0.6115847763030675,0.67477261989133,0.6100297453058189
gcn-29,GCN,29,0.7576374745417516,0.655222816399287,0.655222816399287,0.2457301469583858,0.6069754145225843,0.655222816399287,0.5972526245253518
gcn-30,GCN,30,0.7006109979633401,0.6972434345315701,0.6972434345315701,0.300333254154954,0.6106642932276074,0.6972434345315701,0.6143258123718018
