,name,iter,A,BA,ROC,MCC,F1,R,P
gin-1,GIN,1,0.7331975560081466,0.6571137491141035,0.6571137491141035,0.2619910283611019,0.6175489502381363,0.6571137491141035,0.6092191156546373
gin-2,GIN,2,0.7331975560081466,0.6758659532526049,0.6758659532526049,0.265207689692345,0.6046188553057825,0.6758659532526049,0.5999839897534422
gin-3,GIN,3,0.714867617107943,0.6404647435897436,0.6404647435897436,0.2215402150292097,0.5899546647578144,0.6404647435897436,0.5873529998006777
gin-4,GIN,4,0.7474541751527495,0.632979923302504,0.632979923302504,0.2401404413407294,0.6163869146630375,0.632979923302504,0.6084137931034483
gin-5,GIN,5,0.6782077393075356,0.6285383244206773,0.6285383244206774,0.1853673913692481,0.5541494252873563,0.6285383244206773,0.5668303985171455
gin-6,GIN,6,0.6089613034623218,0.6382434769531544,0.6382434769531544,0.1852048534222255,0.5161965759329967,0.6382434769531544,0.5620297580890043
gin-7,GIN,7,0.7657841140529531,0.6637646523273018,0.6637646523273018,0.2944122278188911,0.6429361882418408,0.6637646523273018,0.6323218390804597
gin-8,GIN,8,0.725050916496945,0.7221704848823494,0.7221704848823494,0.3418750424080172,0.6348839130794018,0.7221704848823494,0.6315189826895513
gin-9,GIN,9,0.769857433808554,0.7266982622432859,0.7266982622432858,0.3521075414104878,0.6516746711868663,0.7266982622432859,0.6367232808616404
gin-10,GIN,10,0.7067209775967414,0.6883952297621363,0.6883952297621363,0.2841370604142542,0.6051820415456779,0.6883952297621363,0.6071336429308566
gin-11,GIN,11,0.6171079429735234,0.6450973323720259,0.645097332372026,0.2080967145515638,0.5381644252321486,0.6450973323720259,0.5746124031007752
gin-12,GIN,12,0.7494908350305499,0.6913442219197614,0.6913442219197615,0.3039138577896839,0.6312936134361435,0.6913442219197614,0.6206773217789405
gin-13,GIN,13,0.7230142566191446,0.6348616803278688,0.6348616803278688,0.2020205693802307,0.5761868494541762,0.6348616803278688,0.575655868949378
gin-14,GIN,14,0.539714867617108,0.6125311942959002,0.6125311942959002,0.1536308117300527,0.4761801359516616,0.6125311942959002,0.5524352968537161
gin-15,GIN,15,0.7596741344195519,0.6726373356273811,0.6726373356273811,0.2912267910708067,0.634948838147084,0.6726373356273811,0.6228196721311475
gin-16,GIN,16,0.7494908350305499,0.7036926544683108,0.7036926544683108,0.3171910922911261,0.6337709590370213,0.7036926544683108,0.6234828390000804
gin-17,GIN,17,0.7759674134419552,0.6793753963221306,0.6793753963221306,0.3054773998363878,0.6439214135021096,0.6793753963221306,0.6300574712643678
gin-18,GIN,18,0.6883910386965377,0.665710932260228,0.665710932260228,0.2443292212822252,0.5816669172555505,0.665710932260228,0.5900616023911934
gin-19,GIN,19,0.7881873727087576,0.6849442938873833,0.6849442938873833,0.3303394486123426,0.6606592238171186,0.6849442938873833,0.6475094865267303
gin-20,GIN,20,0.769857433808554,0.6662256690997567,0.6662256690997567,0.2899019570886697,0.6384647965334115,0.6662256690997567,0.6263991674375579
gin-21,GIN,21,0.7494908350305499,0.701711229946524,0.701711229946524,0.3041465730793319,0.6235437120149602,0.701711229946524,0.6146504559270516
gin-22,GIN,22,0.7780040733197556,0.7051536032156187,0.7051536032156188,0.3580060226958919,0.6710187422009946,0.7051536032156187,0.6561857923497267
gin-23,GIN,23,0.714867617107943,0.6673979173979174,0.6673979173979174,0.2707897312509452,0.6139937106918238,0.6673979173979174,0.6095101415996939
gin-24,GIN,24,0.7820773930753564,0.6552937200442424,0.6552937200442422,0.2813009224631877,0.6376283788910271,0.6552937200442424,0.6273879731841323
gin-25,GIN,25,0.7311608961303462,0.6814505436223813,0.6814505436223812,0.2797587065196109,0.6133858267716534,0.6814505436223813,0.6078323221180364
gin-26,GIN,26,0.6761710794297352,0.6491305266122219,0.6491305266122219,0.2140487132920117,0.5628370319350882,0.6491305266122219,0.5768066282316255
gin-27,GIN,27,0.6761710794297352,0.6593582887700535,0.6593582887700534,0.2264225247744248,0.5652616983243957,0.6593582887700535,0.580427507287056
gin-28,GIN,28,0.670061099796334,0.6629044020153805,0.6629044020153805,0.2380992218877955,0.5720235020661157,0.6629044020153805,0.5870007789264977
gin-29,GIN,29,0.7270875763747454,0.6873348630232234,0.6873348630232234,0.2799313894193117,0.6075280362681936,0.6873348630232234,0.6045742120788697
gin-30,GIN,30,0.780040733197556,0.678926282051282,0.678926282051282,0.305841425157619,0.6447558818800578,0.678926282051282,0.6306948541461816
