,name,iter,A,BA,ROC,MCC,F1,R,P
lr-1,Logistic Regression,1,0.7494908350305499,0.7246905178559855,0.7246905178559854,0.3483940232644565,0.6454249229414355,0.7246905178559855,0.6350506427736657
dt-1,Decision Tree,1,0.7963340122199593,0.7633838874846068,0.763383887484607,0.4250782623516819,0.6928485637073366,0.7633838874846068,0.6715096648940659
rf-1,Random Forest,1,0.835030549898167,0.747261650139348,0.747261650139348,0.4409709857606829,0.7158341490600684,0.747261650139348,0.6966089466089467
xgb-1,XGBoost,1,0.7718940936863544,0.7601108302547152,0.7601108302547153,0.4055966885807648,0.674063537221432,0.7601108302547152,0.6581140178078954
gnb-1,Gaussian Naive Bayes,1,0.7963340122199593,0.6355564197290816,0.6355564197290815,0.2551862298642807,0.6266727493917275,0.6355564197290816,0.6200976169968418
bnb-1,Bernoulli Naive Bayes,1,0.7718940936863544,0.7045336703610086,0.7045336703610086,0.3333653041421848,0.6509774054328509,0.7045336703610086,0.6358363464187328
svc-1,Support Vector,1,0.790224032586558,0.7653444811718193,0.7653444811718194,0.4233134111242879,0.6891278022633252,0.7653444811718193,0.6688317044001815
lr-2,Logistic Regression,2,0.745417515274949,0.661157560438136,0.661157560438136,0.2607219942289328,0.6146843707819318,0.661157560438136,0.6054495335029686
dt-2,Decision Tree,2,0.7270875763747454,0.7392896493615918,0.7392896493615918,0.3589039444297843,0.6366096677271121,0.7392896493615918,0.634577531530218
rf-2,Random Forest,2,0.8329938900203666,0.6515814375526605,0.6515814375526606,0.3179753629292,0.6584492704445198,0.6515814375526605,0.6667557932263815
xgb-2,XGBoost,2,0.7759674134419552,0.7180471838745219,0.718047183874522,0.3536218468128612,0.6596980694591461,0.7180471838745219,0.6433731088855743
gnb-2,Gaussian Naive Bayes,2,0.8085539714867617,0.6316352323546568,0.6316352323546569,0.2604085161535682,0.6301762820512821,0.6316352323546568,0.6287888395688015
bnb-2,Bernoulli Naive Bayes,2,0.714867617107943,0.6098256529911207,0.6098256529911206,0.1764132374132442,0.5730222619757503,0.6098256529911207,0.5708432626782056
svc-2,Support Vector,2,0.790224032586558,0.6486324453950354,0.6486324453950354,0.2692266892165997,0.6319206387330145,0.6486324453950354,0.6219165337586391
lr-3,Logistic Regression,3,0.7433808553971487,0.6988625315963446,0.6988625315963445,0.3113012549340007,0.630959198282033,0.6988625315963446,0.6218284693269803
dt-3,Decision Tree,3,0.7657841140529531,0.7231674120163329,0.7231674120163329,0.3544589349934217,0.6552745166272886,0.7231674120163329,0.6407476291693918
rf-3,Random Forest,3,0.8207739307535642,0.7166375008101626,0.7166375008101626,0.3878271483068183,0.6898650588573069,0.7166375008101626,0.67357324609233
xgb-3,XGBoost,3,0.7820773930753564,0.7383174541447923,0.7383174541447923,0.3837093659771761,0.6725136356552907,0.7383174541447923,0.6544503717394043
gnb-3,Gaussian Naive Bayes,3,0.8228105906313645,0.6455862337157301,0.6455862337157301,0.2961968083748897,0.6480286738351255,0.6455862337157301,0.6506539235412475
bnb-3,Bernoulli Naive Bayes,3,0.7678207739307535,0.6687892928900123,0.6687892928900123,0.282659350863676,0.6309731012658227,0.6687892928900123,0.6183373472077067
svc-3,Support Vector,3,0.7780040733197556,0.7136885086525374,0.7136885086525374,0.3491744830233209,0.6590733910473241,0.7136885086525374,0.642640823743186
lr-4,Logistic Regression,4,0.7576374745417516,0.6405632250955992,0.6405632250955993,0.2374885924232778,0.6101536593339872,0.6405632250955992,0.6003122109158188
dt-4,Decision Tree,4,0.7861507128309573,0.6962538077645991,0.6962538077645991,0.3315806145741488,0.6560179347064592,0.6962538077645991,0.6400555041628122
rf-4,Random Forest,4,0.8187372708757638,0.6431881521809579,0.6431881521809579,0.2879860139151399,0.6439854983909731,0.6431881521809579,0.6448023857901292
xgb-4,XGBoost,4,0.8268839103869654,0.7202346231123209,0.720234623112321,0.3989239245429002,0.696245187303944,0.7202346231123209,0.680648591174907
gnb-4,Gaussian Naive Bayes,4,0.7963340122199593,0.6244409877503403,0.6244409877503404,0.2387309644115566,0.6189544918358478,0.6244409877503403,0.6144969884906674
bnb-4,Bernoulli Naive Bayes,4,0.7759674134419552,0.6402391600233327,0.6402391600233328,0.2473479403166871,0.6192617866004962,0.6402391600233327,0.6090654770905791
svc-4,Support Vector,4,0.7820773930753564,0.643836282325491,0.643836282325491,0.2565202778897498,0.6246204191287323,0.643836282325491,0.6143707482993197
lr-5,Logistic Regression,5,0.7617107942973523,0.7096538985028193,0.7096538985028193,0.3344682600474573,0.6468733287845538,0.7096538985028193,0.6333972534949894
dt-5,Decision Tree,5,0.7881873727087576,0.7307991444682093,0.7307991444682093,0.3781084410687546,0.6735038363171356,0.7307991444682093,0.6548597521200261
rf-5,Random Forest,5,0.8635437881873728,0.7529327889040119,0.752932788904012,0.4876234444679607,0.7433631080079572,0.7529327889040119,0.7350195724179465
xgb-5,XGBoost,5,0.824847250509165,0.7579395942705296,0.7579395942705296,0.4426628389480725,0.7124196360466384,0.7579395942705296,0.6899188737771416
gnb-5,Gaussian Naive Bayes,5,0.8391038696537678,0.6273899799079655,0.6273899799079655,0.2937474884599293,0.6427775475433992,0.6273899799079655,0.6693374687688464
bnb-5,Bernoulli Naive Bayes,5,0.8044806517311609,0.6625834467561086,0.6625834467561086,0.3006746182962621,0.6486373665692646,0.6625834467561086,0.6390135771681906
svc-5,Support Vector,5,0.8187372708757638,0.7098807440534058,0.7098807440534058,0.3771833384447723,0.6848955516617272,0.7098807440534058,0.6694620335967345
lr-6,Logistic Regression,6,0.7393075356415478,0.652002722146607,0.6520027221466071,0.2453189282756769,0.6068461615453908,0.652002722146607,0.5989807546214232
dt-6,Decision Tree,6,0.7209775967413442,0.6856730831550975,0.6856730831550975,0.2848654457885149,0.6122514857534831,0.6856730831550975,0.6092623669857736
rf-6,Random Forest,6,0.8105906313645621,0.6939691490051202,0.6939691490051202,0.3485881065793538,0.6707335539836026,0.6939691490051202,0.6566146841802292
xgb-6,XGBoost,6,0.8533604887983707,0.7691684490245642,0.7691684490245642,0.4895294848348222,0.7414882414882416,0.7691684490245642,0.7225735569966236
gnb-6,Gaussian Naive Bayes,6,0.8105906313645621,0.5716993972389656,0.5716993972389656,0.1653310399943,0.5794723028042548,0.5716993972389656,0.5953088653398811
bnb-6,Bernoulli Naive Bayes,6,0.7576374745417516,0.6350055091062285,0.6350055091062287,0.229498711864856,0.6069754145225843,0.6350055091062285,0.5975324249660533
svc-6,Support Vector,6,0.7413441955193483,0.6809903428608465,0.6809903428608465,0.2862369576721576,0.6218610715260302,0.6809903428608465,0.6131712259371833
lr-7,Logistic Regression,7,0.7372708757637475,0.6785922613260743,0.6785922613260744,0.2812670632204635,0.6184512514683294,0.6785922613260743,0.6107427055702919
dt-7,Decision Tree,7,0.7881873727087576,0.7307991444682093,0.7307991444682093,0.3781084410687546,0.6735038363171356,0.7307991444682093,0.6548597521200261
rf-7,Random Forest,7,0.8370672097759674,0.6928835310130275,0.6928835310130274,0.3775606313833436,0.6886493341788206,0.6928835310130275,0.6847643881542187
xgb-7,XGBoost,7,0.8126272912423625,0.7563030656555836,0.7563030656555837,0.4292124039513897,0.7021888185654008,0.7563030656555836,0.679692825010224
gnb-7,Gaussian Naive Bayes,7,0.8167006109979633,0.5975273834986066,0.5975273834986066,0.2162133526105781,0.6061497326203209,0.5975273834986066,0.6198335589710918
bnb-7,Bernoulli Naive Bayes,7,0.7556008146639511,0.6560373322963251,0.6560373322963251,0.2583742930569952,0.6175416731578127,0.6560373322963251,0.6069572171131548
svc-7,Support Vector,7,0.8289205702647657,0.6102793440922938,0.6102793440922938,0.2522147370265395,0.6226946721311475,0.6102793440922938,0.6442071361979829
lr-8,Logistic Regression,8,0.7331975560081466,0.6817518957806727,0.6817518957806727,0.2839585460940557,0.6175489502381363,0.6817518957806727,0.6109100616990982
dt-8,Decision Tree,8,0.745417515274949,0.7222924363212133,0.7222924363212132,0.3434270530549861,0.6418881465705867,0.7222924363212133,0.6326429980276134
rf-8,Random Forest,8,0.845213849287169,0.6754488301250892,0.6754488301250892,0.3680424617634824,0.6834407872412622,0.6754488301250892,0.69301247771836
xgb-8,XGBoost,8,0.8228105906313645,0.7567405535031435,0.7567405535031435,0.4391926550536483,0.7102851910882024,0.7567405535031435,0.6878259838786155
gnb-8,Gaussian Naive Bayes,8,0.7881873727087576,0.6363179726489079,0.6363179726489079,0.2499692804374793,0.6230214977557288,0.6363179726489079,0.6145935490901165
bnb-8,Bernoulli Naive Bayes,8,0.7617107942973523,0.6429613066303714,0.6429613066303714,0.2430229398444101,0.6135808697406921,0.6429613066303714,0.6032799550498665
svc-8,Support Vector,8,0.7576374745417516,0.6905826689999353,0.6905826689999353,0.3068527034691016,0.6357861929250428,0.6905826689999353,0.6235140924938043
lr-9,Logistic Regression,9,0.7352342158859471,0.6162583446756109,0.6162583446756109,0.1925062879214891,0.5856701459209638,0.6162583446756109,0.5796903460837887
