,name,iter,A,BA,ROC,MCC,F1,R,P
lr-1,Logistic Regression,1,0.7576374745417516,0.7350443969149005,0.7350443969149005,0.3658117057665178,0.6547912346313594,0.7350443969149005,0.6423329016052435
dt-1,Decision Tree,1,0.8167006109979633,0.7142394192753905,0.7142394192753905,0.3806491696644039,0.6856862410378969,0.7142394192753905,0.6690792838874681
rf-1,Random Forest,1,0.835030549898167,0.7361462181606067,0.7361462181606068,0.4277455323931892,0.7105395314308173,0.7361462181606067,0.6937001594896332
xgb-1,XGBoost,1,0.8187372708757638,0.7432270399896299,0.7432270399896299,0.4187750577378607,0.7011359828200552,0.7432270399896299,0.6802560161391037
gnb-1,Gaussian Naive Bayes,1,0.8044806517311609,0.640352582798626,0.640352582798626,0.2692561997048052,0.6341963121624139,0.640352582798626,0.629137098216948
bnb-1,Bernoulli Naive Bayes,1,0.7718940936863544,0.7045336703610086,0.7045336703610086,0.3333653041421848,0.6509774054328509,0.7045336703610086,0.6358363464187328
svc-1,Support Vector,1,0.7881873727087576,0.7641454404044332,0.7641454404044332,0.4204652469752888,0.687184513599608,0.7641454404044332,0.6673235620150265
lr-2,Logistic Regression,2,0.7372708757637475,0.6508036813792208,0.650803681379221,0.2428054847123727,0.6051799906498363,0.6508036813792208,0.5977338597891376
dt-2,Decision Tree,2,0.7189409368635438,0.6955894743664528,0.6955894743664529,0.2976486425951244,0.6151338210569364,0.6955894743664528,0.6132406469285903
rf-2,Random Forest,2,0.8167006109979633,0.6364313954242011,0.6364313954242012,0.2759655969588199,0.6379530707216361,0.6364313954242011,0.6395518430124636
xgb-2,XGBoost,2,0.7556008146639511,0.6115756043813598,0.6115756043813598,0.1940438280204939,0.5918536990856194,0.6115756043813598,0.584366576819407
gnb-2,Gaussian Naive Bayes,2,0.8065173116089613,0.6248784755979001,0.6248784755979002,0.2483843190776238,0.6241852445676258,0.6248784755979001,0.6235096153846154
bnb-2,Bernoulli Naive Bayes,2,0.714867617107943,0.6098256529911207,0.6098256529911206,0.1764132374132442,0.5730222619757503,0.6098256529911207,0.5708432626782056
svc-2,Support Vector,2,0.7881873727087576,0.6474334046276493,0.6474334046276493,0.2659963108373124,0.6300782381918285,0.6474334046276493,0.6199762658227848
lr-3,Logistic Regression,3,0.7494908350305499,0.6857865059303909,0.6857865059303909,0.2963917667288157,0.6287642687222232,0.6857865059303909,0.6182110602499072
dt-3,Decision Tree,3,0.7861507128309573,0.6573497958390044,0.6573497958390044,0.2785396825948216,0.6349442379182156,0.6573497958390044,0.6232673267326733
rf-3,Random Forest,3,0.8289205702647657,0.704760515911595,0.704760515911595,0.3820025297729358,0.6895212285456187,0.704760515911595,0.678166591473043
xgb-3,XGBoost,3,0.7922606924643585,0.705408646056128,0.7054086460561281,0.3481043915461638,0.6644916662200546,0.705408646056128,0.6474824328726325
gnb-3,Gaussian Naive Bayes,3,0.8228105906313645,0.6455862337157301,0.6455862337157301,0.2961968083748897,0.6480286738351255,0.6455862337157301,0.6506539235412475
bnb-3,Bernoulli Naive Bayes,3,0.7678207739307535,0.6687892928900123,0.6687892928900123,0.282659350863676,0.6309731012658227,0.6687892928900123,0.6183373472077067
svc-3,Support Vector,3,0.7759674134419552,0.7124894678851513,0.7124894678851513,0.3463322980686534,0.6572099517644072,0.7124894678851513,0.6411200068870524
lr-4,Logistic Regression,4,0.7596741344195519,0.6362045498736146,0.6362045498736147,0.2322613157657643,0.6086750959096558,0.6362045498736146,0.5990152657369016
dt-4,Decision Tree,4,0.7820773930753564,0.6216054183680083,0.6216054183680083,0.2239319785913097,0.6102740996253848,0.6216054183680083,0.6030906593406593
rf-4,Random Forest,4,0.8228105906313645,0.6122399377795061,0.612239937779506,0.2469979911078594,0.6216955817104599,0.6122399377795061,0.6358874764595104
xgb-4,XGBoost,4,0.7780040733197556,0.6303227688119775,0.6303227688119774,0.2342071791176796,0.6140855632711042,0.6303227688119775,0.6052252865142079
gnb-4,Gaussian Naive Bayes,4,0.8044806517311609,0.6292371508198846,0.6292371508198846,0.2529757725061785,0.6263792010145846,0.6292371508198846,0.6237971068479543
bnb-4,Bernoulli Naive Bayes,4,0.7759674134419552,0.6402391600233327,0.6402391600233328,0.2473479403166871,0.6192617866004962,0.6402391600233327,0.6090654770905791
svc-4,Support Vector,4,0.7841140529531568,0.645035323092877,0.6450353230928771,0.2596440392291945,0.626428366350847,0.645035323092877,0.616204497066002
lr-5,Logistic Regression,5,0.790224032586558,0.7264404692462246,0.7264404692462246,0.373930994136049,0.6729735846616444,0.7264404692462246,0.65437212796041
dt-5,Decision Tree,5,0.8004073319755601,0.7102048091256724,0.7102048091256724,0.3607428236493086,0.6722921434019833,0.7102048091256724,0.6547721307563827
rf-5,Random Forest,5,0.8716904276985743,0.7188249400479616,0.7188249400479616,0.4681861282185343,0.7327948861918542,0.7188249400479616,0.7504264945853731
xgb-5,XGBoost,5,0.8370672097759674,0.7429029749173635,0.7429029749173633,0.4382405424510551,0.7154447986090988,0.7429029749173635,0.6976661392405064
