,name,iter,A,BA,ROC,MCC,F1,R,P
lr-1,Logistic Regression,1,0.7780040733197556,0.7525925205781321,0.7525925205781321,0.3994760907028885,0.6754555653254903,0.7525925205781321,0.6579432624113475
dt-1,Decision Tree,1,0.7881873727087576,0.7196837124894679,0.7196837124894678,0.3637631012738049,0.6685361167367709,0.7196837124894679,0.6505842107601404
rf-1,Random Forest,1,0.8065173116089613,0.7415905113746841,0.741590511374684,0.4057560687420675,0.6912583316234339,0.7415905113746841,0.6703688468394351
xgb-1,XGBoost,1,0.8167006109979633,0.7420279992222438,0.7420279992222438,0.4153561671818179,0.6990438051650867,0.7420279992222438,0.678203292770222
gnb-1,Gaussian Naive Bayes,1,0.7637474541751528,0.6441603473977575,0.6441603473977575,0.2458278522921728,0.6153077214027125,0.6441603473977575,0.6047988126649076
bnb-1,Bernoulli Naive Bayes,1,0.7718940936863544,0.7045336703610086,0.7045336703610086,0.3333653041421848,0.6509774054328509,0.7045336703610086,0.6358363464187328
svc-1,Support Vector,1,0.8065173116089613,0.7415905113746841,0.741590511374684,0.4057560687420675,0.6912583316234339,0.7415905113746841,0.6703688468394351
lr-2,Logistic Regression,2,0.7637474541751528,0.6886220753127228,0.6886220753127228,0.3074313162892477,0.6385123127697385,0.6886220753127228,0.6252690254820936
dt-2,Decision Tree,2,0.7657841140529531,0.6842634000907382,0.6842634000907383,0.3026616633152235,0.6376197719119223,0.6842634000907382,0.6242841530054645
rf-2,Random Forest,2,0.7983706720977597,0.6756594724220624,0.6756594724220624,0.3132743418500369,0.6526861821845281,0.6756594724220624,0.6396748093176665
xgb-2,XGBoost,2,0.7881873727087576,0.6529911206170199,0.6529911206170199,0.2738866069044861,0.6334768877404535,0.6529911206170199,0.6225788025133717
gnb-2,Gaussian Naive Bayes,2,0.7331975560081466,0.6484055998444487,0.6484055998444488,0.237833095497652,0.6018680713308615,0.6484055998444487,0.595287141073658
bnb-2,Bernoulli Naive Bayes,2,0.714867617107943,0.6098256529911207,0.6098256529911206,0.1764132374132442,0.5730222619757503,0.6098256529911207,0.5708432626782056
svc-2,Support Vector,2,0.769857433808554,0.6811037656361397,0.6811037656361397,0.3007099624324882,0.6384647965334114,0.6811037656361397,0.6248268930087112
lr-3,Logistic Regression,3,0.7820773930753564,0.7160865901873096,0.7160865901873096,0.3549328123436353,0.66282883125718,0.7160865901873096,0.6457486338797814
dt-3,Decision Tree,3,0.8309572301425662,0.7170749886577225,0.7170749886577225,0.3997357384660595,0.6976892548495977,0.7170749886577225,0.6840247252747252
rf-3,Random Forest,3,0.8187372708757638,0.7154384600427766,0.7154384600427766,0.3842169218003958,0.6877683860042727,0.7154384600427766,0.6713048855905999
xgb-3,XGBoost,3,0.790224032586558,0.7153250372674833,0.7153250372674833,0.3595534526210944,0.6678881249302258,0.7153250372674833,0.6500971356284448
gnb-3,Gaussian Naive Bayes,3,0.8207739307535642,0.5832523170652667,0.5832523170652667,0.1969726445045473,0.5938792390405294,0.5832523170652667,0.6165079365079364
bnb-3,Bernoulli Naive Bayes,3,0.7678207739307535,0.6687892928900123,0.6687892928900123,0.282659350863676,0.6309731012658227,0.6687892928900123,0.6183373472077067
svc-3,Support Vector,3,0.8024439918533605,0.7058461339036879,0.7058461339036879,0.3567788462180273,0.6714948855367254,0.7058461339036879,0.6545950155763239
lr-4,Logistic Regression,4,0.7657841140529531,0.6342439561864022,0.6342439561864023,0.2326757510167157,0.6105351735744684,0.6342439561864022,0.6008201908099688
dt-4,Decision Tree,4,0.7556008146639511,0.6504796163069544,0.6504796163069545,0.2505612923315483,0.6145795175048407,0.6504796163069544,0.6043014375561546
rf-4,Random Forest,4,0.8105906313645621,0.6328342731220429,0.632834273122043,0.2642084660436435,0.6320971341556757,0.6328342731220429,0.6313782051282051
xgb-4,XGBoost,4,0.8004073319755601,0.6713007972000777,0.6713007972000777,0.3090573687407481,0.6514198782961461,0.6713007972000777,0.6393987341772152
gnb-4,Gaussian Naive Bayes,4,0.8268839103869654,0.553503143431201,0.5535031434312011,0.14879102585393,0.5614090397973874,0.553503143431201,0.6034461152882206
bnb-4,Bernoulli Naive Bayes,4,0.7759674134419552,0.6402391600233327,0.6402391600233328,0.2473479403166871,0.6192617866004962,0.6402391600233327,0.6090654770905791
svc-4,Support Vector,4,0.7820773930753564,0.6493939983148617,0.6493939983148617,0.2644563766372418,0.6279907948309436,0.6493939983148617,0.617034780401117
lr-5,Logistic Regression,5,0.7841140529531568,0.695054766997213,0.695054766997213,0.3285684228755363,0.6541334396597555,0.695054766997213,0.638367816091954
dt-5,Decision Tree,5,0.7861507128309573,0.6629075118283752,0.6629075118283752,0.2862994530823905,0.6381724392041268,0.6629075118283752,0.6257882093884496
rf-5,Random Forest,5,0.8635437881873728,0.6862401970315639,0.6862401970315639,0.4160111902674572,0.7049093567513747,0.6862401970315639,0.7323146576117714
xgb-5,XGBoost,5,0.824847250509165,0.7245932983343055,0.7245932983343055,0.4020697159821098,0.6969135802469135,0.7245932983343055,0.6799475515396999
gnb-5,Gaussian Naive Bayes,5,0.8309572301425662,0.5614589409553439,0.5614589409553438,0.1709159179478971,0.5717288270962724,0.5614589409553439,0.618828320802005
bnb-5,Bernoulli Naive Bayes,5,0.8044806517311609,0.6625834467561086,0.6625834467561086,0.3006746182962621,0.6486373665692646,0.6625834467561086,0.6390135771681906
svc-5,Support Vector,5,0.8187372708757638,0.7043230280640354,0.7043230280640352,0.3701023166926112,0.6819508431770709,0.7043230280640354,0.6675970228601807
lr-6,Logistic Regression,6,0.7535641547861507,0.6826268714757924,0.6826268714757924,0.2940432597177558,0.6296649524700015,0.6826268714757924,0.618358045952871
dt-6,Decision Tree,6,0.6904276985743381,0.6676874716443062,0.6676874716443062,0.2515098131706282,0.5877960410038883,0.6676874716443062,0.5943081577604432
rf-6,Random Forest,6,0.7759674134419552,0.7069317518957807,0.7069317518957807,0.3390075049767667,0.6546675191815856,0.7069317518957807,0.6388454011741683
xgb-6,XGBoost,6,0.769857433808554,0.7033346295936225,0.7033346295936224,0.3305796317367399,0.649145993663722,0.7033346295936225,0.6343633560323783
gnb-6,Gaussian Naive Bayes,6,0.8309572301425662,0.5503435089766024,0.5503435089766026,0.1481145089740572,0.5574414942715968,0.5503435089766024,0.6089410939691444
bnb-6,Bernoulli Naive Bayes,6,0.7576374745417516,0.6350055091062285,0.6350055091062287,0.229498711864856,0.6069754145225843,0.6350055091062285,0.5975324249660533
svc-6,Support Vector,6,0.7841140529531568,0.678381619029101,0.678381619029101,0.3061294801167994,0.6455404816388799,0.678381619029101,0.6313409687425435
lr-7,Logistic Regression,7,0.769857433808554,0.7033346295936225,0.7033346295936224,0.3305796317367399,0.649145993663722,0.7033346295936225,0.6343633560323783
dt-7,Decision Tree,7,0.7311608961303462,0.6972260029813987,0.6972260029813987,0.3041604524001335,0.6229931592908,0.6972260029813987,0.6172684881883694
rf-7,Random Forest,7,0.8289205702647657,0.6936450839328537,0.6936450839328538,0.3679455131832299,0.6832063414034657,0.6936450839328537,0.6747835497835497
xgb-7,XGBoost,7,0.8024439918533605,0.7002884179143172,0.7002884179143172,0.3495275535283212,0.6686517737256239,0.7002884179143172,0.652491981248458
