,name,iter,A,BA,ROC,MCC,F1,R,P
lr-1,Logistic Regression,1,0.7352342158859471,0.7218549484736535,0.7218549484736536,0.3386951789790385,0.6353238265002971,0.7218549484736535,0.6292673716012085
dt-1,Decision Tree,1,0.7861507128309573,0.7351578196901938,0.7351578196901938,0.3823174910666432,0.6739852153512461,0.7351578196901938,0.6553920938798236
rf-1,Random Forest,1,0.8370672097759674,0.731787542938622,0.731787542938622,0.4250339423104887,0.7100165367351761,0.731787542938622,0.6948485343794268
xgb-1,XGBoost,1,0.7881873727087576,0.7474722924363212,0.7474722924363211,0.3993983574836811,0.6805625062556301,0.7474722924363212,0.6611483919979741
gnb-1,Gaussian Naive Bayes,1,0.7637474541751528,0.7275260872383175,0.7275260872383175,0.3590775023442654,0.6557634658156851,0.7275260872383175,0.6416723838734413
bnb-1,Bernoulli Naive Bayes,1,0.8024439918533605,0.7225192818717998,0.7225192818717998,0.3782652196399506,0.6796354219217704,0.7225192818717998,0.6607552558879992
svc-1,Support Vector,1,0.7780040733197556,0.7414770885993907,0.7414770885993907,0.3852369178056462,0.6710187422009946,0.7414770885993907,0.6536455111550992
lr-2,Logistic Regression,2,0.7515274949083504,0.6981009786765182,0.6981009786765182,0.3139662226776359,0.635526187694704,0.6981009786765182,0.6243996743996744
dt-2,Decision Tree,2,0.7739307535641547,0.683501847170912,0.6835018471709119,0.3064145421727665,0.6420930278374278,0.683501847170912,0.6279140688533478
rf-2,Random Forest,2,0.8370672097759674,0.6873258150236567,0.6873258150236567,0.3705788842013051,0.6852564102564102,0.6873258150236567,0.6832752060875079
xgb-2,XGBoost,2,0.7942973523421588,0.7121654028128848,0.7121654028128849,0.3584640494743977,0.6691220133843084,0.7121654028128848,0.6514107308048104
gnb-2,Gaussian Naive Bayes,2,0.769857433808554,0.7033346295936225,0.7033346295936224,0.3305796317367399,0.649145993663722,0.7033346295936225,0.6343633560323783
bnb-2,Bernoulli Naive Bayes,2,0.7922606924643585,0.6831777820986453,0.6831777820986454,0.3185689044106424,0.6530756442227763,0.6831777820986453,0.6385077186963979
svc-2,Support Vector,2,0.7881873727087576,0.6863374165532439,0.6863374165532439,0.3197828159999267,0.6522283970796556,0.6863374165532439,0.6371987592460033
lr-3,Logistic Regression,3,0.7637474541751528,0.7108529392702054,0.7108529392702054,0.3371397121835406,0.6486799901307673,0.7108529392702054,0.6347659486329743
dt-3,Decision Tree,3,0.725050916496945,0.7158597446367231,0.7158597446367231,0.3269902247828926,0.6267253078946035,0.7158597446367231,0.623833426287414
rf-3,Random Forest,3,0.8228105906313645,0.6956056776200661,0.6956056776200661,0.3633183302282587,0.6800152812422751,0.6956056776200661,0.6687070266644306
xgb-3,XGBoost,3,0.824847250509165,0.7079201503661936,0.7079201503661936,0.3812677768422364,0.6882677769903143,0.7079201503661936,0.6747847880570993
gnb-3,Gaussian Naive Bayes,3,0.7535641547861507,0.6881845874651631,0.6881845874651631,0.3015824403438946,0.6322598216109485,0.6881845874651631,0.6208281315022888
bnb-3,Bernoulli Naive Bayes,3,0.7596741344195519,0.6862239937779506,0.6862239937779506,0.3020120298298442,0.634948838147084,0.6862239937779506,0.6224483272959728
svc-3,Support Vector,3,0.7596741344195519,0.7028971417460625,0.7028971417460625,0.3244189253794126,0.6426227485812979,0.7028971417460625,0.6296810273405137
lr-4,Logistic Regression,4,0.7576374745417516,0.6516786570743405,0.6516786570743406,0.2532756317244386,0.6162979307446299,0.6516786570743405,0.6057310020782507
dt-4,Decision Tree,4,0.780040733197556,0.7926955732711128,0.792695573271113,0.4513929027403888,0.6915398576015637,0.7926955732711128,0.6740336814520791
rf-4,Random Forest,4,0.824847250509165,0.6467852744831162,0.6467852744831162,0.3004044103231592,0.650076239724211,0.6467852744831162,0.6536986766202918
xgb-4,XGBoost,4,0.8268839103869654,0.7091191911335797,0.7091191911335797,0.3850854251431637,0.6904046585809132,0.7091191911335797,0.6772802197802198
gnb-4,Gaussian Naive Bayes,4,0.7331975560081466,0.6650787478125608,0.6650787478125607,0.2610727058875507,0.609951184015039,0.6650787478125608,0.6032218844984802
bnb-4,Bernoulli Naive Bayes,4,0.7596741344195519,0.6584354138310973,0.6584354138310973,0.263808368301699,0.6210031922130933,0.6584354138310973,0.6098158131176998
svc-4,Support Vector,4,0.7739307535641547,0.6612709832134293,0.6612709832134291,0.2758778476332572,0.6303638644918445,0.6612709832134293,0.6179824561403509
lr-5,Logistic Regression,5,0.7780040733197556,0.7414770885993907,0.7414770885993907,0.3852369178056462,0.6710187422009946,0.7414770885993907,0.6536455111550992
dt-5,Decision Tree,5,0.7861507128309573,0.7073692397433404,0.7073692397433405,0.3462687250090124,0.6614393506570263,0.7073692397433404,0.6445513689346707
rf-5,Random Forest,5,0.8533604887983707,0.7691684490245642,0.7691684490245642,0.4895294848348222,0.7414882414882416,0.7691684490245642,0.7225735569966236
xgb-5,XGBoost,5,0.8431771894093686,0.7131538012832976,0.7131538012832976,0.4109344274167856,0.7050590942778016,0.7131538012832976,0.6980578139114725
gnb-5,Gaussian Naive Bayes,5,0.8065173116089613,0.7471482273640547,0.7471482273640547,0.4126923630694223,0.6936832220230238,0.7471482273640547,0.672280202403542
bnb-5,Bernoulli Naive Bayes,5,0.8085539714867617,0.7650204160995528,0.7650204160995527,0.4364649159135568,0.7026772830344259,0.7650204160995528,0.679704667311242
svc-5,Support Vector,5,0.7861507128309573,0.7407155356795645,0.7407155356795644,0.3894315248607505,0.6763348714568227,0.7407155356795645,0.6575063613231552
lr-6,Logistic Regression,6,0.7433808553971487,0.7210933955538272,0.7210933955538271,0.3409685649851973,0.6401298338684909,0.7210933955538272,0.6314597865042969
dt-6,Decision Tree,6,0.7841140529531568,0.7172856309546958,0.7172856309546957,0.3578499952556124,0.6647211915069058,0.7172856309546958,0.6473367320031642
rf-6,Random Forest,6,0.7881873727087576,0.6918951325426146,0.6918951325426145,0.3272270714506242,0.6551034743610525,0.6918951325426146,0.6395000942329438
xgb-6,XGBoost,6,0.824847250509165,0.7412664463024174,0.7412664463024174,0.4225116207163768,0.7049443792274581,0.7412664463024174,0.6849781355595309
gnb-6,Gaussian Naive Bayes,6,0.7881873727087576,0.6474334046276493,0.6474334046276493,0.2659963108373124,0.6300782381918285,0.6474334046276493,0.6199762658227848
bnb-6,Bernoulli Naive Bayes,6,0.790224032586558,0.6986518892993713,0.6986518892993713,0.3376925357012884,0.6598190562674469,0.6986518892993713,0.6435126656365595
svc-6,Support Vector,6,0.769857433808554,0.7088923455829931,0.708892345582993,0.3379477126080234,0.6516746711868663,0.7088923455829931,0.6366836301950806
lr-7,Logistic Regression,7,0.7759674134419552,0.7069317518957807,0.7069317518957807,0.3390075049767667,0.6546675191815856,0.7069317518957807,0.6388454011741683
dt-7,Decision Tree,7,0.7637474541751528,0.7664300991639121,0.766430099163912,0.4094609283423352,0.6706984273820538,0.7664300991639121,0.6573191733639495
rf-7,Random Forest,7,0.8391038696537678,0.7107557197485255,0.7107557197485255,0.402368640040614,0.700528855433314,0.7107557197485255,0.6920476021733994
xgb-7,XGBoost,7,0.8004073319755601,0.7602242530300085,0.7602242530300084,0.4241342616274648,0.6946052297537446,0.7602242530300085,0.6728219696969697
gnb-7,Gaussian Naive Bayes,7,0.7678207739307535,0.7188087367943483,0.7188087367943483,0.3498604989876687,0.6547372316802369,0.7188087367943483,0.6398508699254349
bnb-7,Bernoulli Naive Bayes,7,0.8065173116089613,0.7026864994490893,0.7026864994490893,0.3562084601758129,0.6726322068989719,0.7026864994490893,0.6565033530177159
svc-7,Support Vector,7,0.790224032586558,0.720882753256854,0.7208827532568539,0.3667601510136601,0.6704590623269149,0.720882753256854,0.6522448067902613
lr-8,Logistic Regression,8,0.7780040733197556,0.6803422127163135,0.6803422127163135,0.3046971796739,0.6429138560286101,0.6803422127163135,0.628700277520814
dt-8,Decision Tree,8,0.7881873727087576,0.6807797005638732,0.6807797005638732,0.3122858317801846,0.6492857142857142,0.6807797005638732,0.6348636495503336
rf-8,Random Forest,8,0.8329938900203666,0.7127163134357379,0.7127163134357379,0.3968449165829787,0.6969135802469135,0.7127163134357379,0.6850891044439431
xgb-8,XGBoost,8,0.8309572301425662,0.7170749886577225,0.7170749886577225,0.3997357384660595,0.6976892548495977,0.7170749886577225,0.6840247252747252
gnb-8,Gaussian Naive Bayes,8,0.7576374745417516,0.7183712489467885,0.7183712489467886,0.3439154609891296,0.6480286738351255,0.7183712489467885,0.6354091310987863
bnb-8,Bernoulli Naive Bayes,8,0.7963340122199593,0.6855758636334175,0.6855758636334175,0.3249849289499438,0.6569120688691374,0.6855758636334175,0.642280361757106
svc-8,Support Vector,8,0.8065173116089613,0.7193596474172014,0.7193596474172014,0.3776814823566157,0.6809878468303958,0.7193596474172014,0.6625678466785148
lr-9,Logistic Regression,9,0.7433808553971487,0.6988625315963446,0.6988625315963445,0.3113012549340007,0.630959198282033,0.6988625315963446,0.6218284693269803
dt-9,Decision Tree,9,0.7718940936863544,0.7100913863503792,0.7100913863503792,0.340719392567107,0.6535107616311306,0.7100913863503792,0.6381419134881738
rf-9,Random Forest,9,0.8207739307535642,0.6832912048739387,0.6832912048739386,0.3450474100196919,0.6714720194647201,0.6832912048739387,0.6623887453344818
xgb-9,XGBoost,9,0.7942973523421588,0.7510694147384795,0.7510694147384795,0.4081864207315949,0.6864048261950082,0.7510694147384795,0.6659064628035462
