,name,iter,A,BA,ROC,MCC,F1,R,P
lr-1,Logistic Regression,1,0.7617107942973523,0.731884762460302,0.731884762460302,0.3637173714758618,0.6562056769421354,0.731884762460302,0.6426250747458641
dt-1,Decision Tree,1,0.780040733197556,0.6870989694730703,0.6870989694730701,0.3151669362804301,0.6476076555023924,0.6870989694730703,0.6327241379310344
rf-1,Random Forest,1,0.8105906313645621,0.7273154449413441,0.7273154449413444,0.3913793408170307,0.6877038921602824,0.7273154449413441,0.6684639031653777
xgb-1,XGBoost,1,0.7942973523421588,0.7343962667703675,0.7343962667703675,0.3870687485632977,0.6793236121439425,0.7343962667703675,0.6597958642629904
gnb-1,Gaussian Naive Bayes,1,0.8370672097759674,0.63174865512995,0.63174865512995,0.2965660492730315,0.6453593355001807,0.63174865512995,0.666892446633826
bnb-1,Bernoulli Naive Bayes,1,0.8024439918533605,0.7225192818717998,0.7225192818717998,0.3782652196399506,0.6796354219217704,0.7225192818717998,0.6607552558879992
svc-1,Support Vector,1,0.8228105906313645,0.7567405535031435,0.7567405535031435,0.4391926550536483,0.7102851910882024,0.7567405535031435,0.6878259838786155
lr-2,Logistic Regression,2,0.7922606924643585,0.7331972260029814,0.7331972260029815,0.3840549688082605,0.6773732220160791,0.7331972260029814,0.6581260437725235
dt-2,Decision Tree,2,0.7291242362525459,0.6237766543521939,0.623776654352194,0.2012349834119815,0.5870479394449116,0.6237766543521939,0.5817915114137651
rf-2,Random Forest,2,0.8268839103869654,0.6702151792079849,0.670215179207985,0.3349397071332547,0.6673998453949204,0.6702151792079849,0.6647688060731539
xgb-2,XGBoost,2,0.8044806517311609,0.6959297426923327,0.6959297426923327,0.3455726509889521,0.6677193773967968,0.6959297426923327,0.6523766318866878
gnb-2,Gaussian Naive Bayes,2,0.8472505091649695,0.6043975630306565,0.6043975630306566,0.2762502775779054,0.6249885434381905,0.6043975630306565,0.6827490356251418
bnb-2,Bernoulli Naive Bayes,2,0.7922606924643585,0.6831777820986453,0.6831777820986454,0.3185689044106424,0.6530756442227763,0.6831777820986453,0.6385077186963979
svc-2,Support Vector,2,0.8126272912423625,0.667379609825653,0.667379609825653,0.3150936833012215,0.6565389294403893,0.667379609825653,0.6482917025552685
lr-3,Logistic Regression,3,0.7617107942973523,0.681865318555966,0.681865318555966,0.297174279455092,0.6340512546104305,0.681865318555966,0.6213982867526174
dt-3,Decision Tree,3,0.7535641547861507,0.6492805755395683,0.6492805755395684,0.2478698115675506,0.6128693838986088,0.6492805755395683,0.6028925619834711
rf-3,Random Forest,3,0.8065173116089613,0.7138019314278307,0.7138019314278308,0.370568079018173,0.6782681868658651,0.7138019314278307,0.660569996105919
xgb-3,XGBoost,3,0.8126272912423625,0.717399053729989,0.717399053729989,0.3807144671021912,0.6843591033596064,0.717399053729989,0.6666790896442059
gnb-3,Gaussian Naive Bayes,3,0.7270875763747454,0.6559239095210319,0.6559239095210317,0.2460762573037221,0.6023474518905328,0.6559239095210319,0.5970882602203479
bnb-3,Bernoulli Naive Bayes,3,0.7596741344195519,0.6862239937779506,0.6862239937779506,0.3020120298298442,0.634948838147084,0.6862239937779506,0.6224483272959728
svc-3,Support Vector,3,0.8004073319755601,0.6879739451681898,0.6879739451681898,0.3315405494643428,0.6607968644258967,0.6879739451681898,0.6461893240586722
lr-4,Logistic Regression,4,0.7718940936863544,0.6600719424460432,0.6600719424460431,0.27296092534499,0.6285729723888259,0.6600719424460432,0.6163659065209197
dt-4,Decision Tree,4,0.7718940936863544,0.6433987944779311,0.6433987944779311,0.2493883064161154,0.6190634524799112,0.6433987944779311,0.608429306542514
rf-4,Random Forest,4,0.8228105906313645,0.6622593816838421,0.6622593816838421,0.3192847431920431,0.6595739594042126,0.6622593816838421,0.6570675701110484
xgb-4,XGBoost,4,0.7983706720977597,0.6589863244539503,0.6589863244539503,0.2903291495021438,0.642856618052239,0.6589863244539503,0.6325444426433242
gnb-4,Gaussian Naive Bayes,4,0.8329938900203666,0.5848888456802126,0.5848888456802126,0.2171784330709136,0.5992076132834276,0.5848888456802126,0.6389065648531127
bnb-4,Bernoulli Naive Bayes,4,0.7596741344195519,0.6584354138310973,0.6584354138310973,0.263808368301699,0.6210031922130933,0.6584354138310973,0.6098158131176998
svc-4,Support Vector,4,0.8085539714867617,0.6260775163652862,0.6260775163652862,0.2521550327305723,0.6260775163652862,0.6260775163652862,0.6260775163652862
lr-5,Logistic Regression,5,0.8044806517311609,0.7515069025860392,0.7515069025860392,0.4164575053822097,0.6940333385262503,0.7515069025860392,0.6723977075836332
dt-5,Decision Tree,5,0.7820773930753564,0.6771825782617149,0.6771825782617149,0.3030969822033224,0.6436840855912374,0.6771825782617149,0.6296230440967283
rf-5,Random Forest,5,0.8513238289205702,0.7401808283103246,0.7401808283103246,0.4542341077386072,0.7260903123256685,0.7401808283103246,0.7147638365691105
xgb-5,XGBoost,5,0.8553971486761711,0.7703674897919502,0.7703674897919501,0.4937252536274737,0.7438668674920099,0.7703674897919502,0.7254011995461177
gnb-5,Gaussian Naive Bayes,5,0.8533604887983707,0.6135524013221856,0.6135524013221855,0.3040670120509226,0.6371921182266009,0.6135524013221856,0.7035552457302195
bnb-5,Bernoulli Naive Bayes,5,0.8085539714867617,0.7650204160995528,0.7650204160995527,0.4364649159135568,0.7026772830344259,0.7650204160995528,0.679704667311242
