,name,iter,A,BA,ROC,MCC,F1,R,P
lr-1,Logistic Regression,1,0.7372708757637475,0.7230539892410397,0.7230539892410397,0.3410800153474925,0.6370611459055565,0.7230539892410397,0.6303894824581344
dt-1,Decision Tree,1,0.7678207739307535,0.691020156847495,0.6910201568474951,0.3129402142487748,0.6421099744245524,0.691020156847495,0.6281691672102632
rf-1,Random Forest,1,0.8085539714867617,0.7205586881845875,0.7205586881845876,0.3810015902296202,0.6830082417582418,0.7205586881845875,0.664539212842085
xgb-1,XGBoost,1,0.7841140529531568,0.7339587789228077,0.7339587789228078,0.3794267553043697,0.6720726851151771,0.7339587789228077,0.653835499680375
gnb-1,Gaussian Naive Bayes,1,0.7780040733197556,0.7359193726100202,0.73591937261002,0.3780816541593857,0.6687299219470527,0.7359193726100202,0.6514773200166458
bnb-1,Bernoulli Naive Bayes,1,0.8024439918533605,0.7225192818717998,0.7225192818717998,0.3782652196399506,0.6796354219217704,0.7225192818717998,0.6607552558879992
svc-1,Support Vector,1,0.780040733197556,0.7426761293667768,0.7426761293667767,0.3880228594000529,0.6729089563286454,0.7426761293667768,0.655105633802817
lr-2,Logistic Regression,2,0.7474541751527495,0.7012606131311168,0.7012606131311168,0.3163200284185407,0.6344444978144964,0.7012606131311168,0.6242895453089977
dt-2,Decision Tree,2,0.6741344195519349,0.6747682934733295,0.6747682934733296,0.2577924160770181,0.5815043682079694,0.6747682934733295,0.5950643398554556
rf-2,Random Forest,2,0.8228105906313645,0.6622593816838421,0.6622593816838421,0.3192847431920431,0.6595739594042126,0.6622593816838421,0.6570675701110484
xgb-2,XGBoost,2,0.7942973523421588,0.6843768228660314,0.6843768228660314,0.3217598925328668,0.6549879293431753,0.6843768228660314,0.6403774981495189
gnb-2,Gaussian Naive Bayes,2,0.7718940936863544,0.6878605223928964,0.6878605223928965,0.3110686971654001,0.6430388949472919,0.6878605223928964,0.6287707139366475
bnb-2,Bernoulli Naive Bayes,2,0.7922606924643585,0.6831777820986453,0.6831777820986454,0.3185689044106424,0.6530756442227763,0.6831777820986453,0.6385077186963979
svc-2,Support Vector,2,0.7861507128309573,0.6851383757858578,0.6851383757858578,0.316706549488355,0.650344196140934,0.6851383757858578,0.635443338074917
